po_id,order_date,department,category,item,supplier,unit_cost,quantity,total_cost,lead_time_days,promised_days,on_time,on_contract
PO-10000,2024-01-23,Surgery,Surgical Supplies,Surgical Drapes (case 60),Regional MedSupply,161.29,15,2419.35,3,6,True,False
PO-10001,2024-01-18,Laboratory,Medical Equipment,Pulse Oximeter Sensors (box 24),Apex Medical Group,267.28,6,1603.68,11,13,True,True
PO-10002,2024-01-10,Emergency,Pharmaceuticals,Saline IV Bags 1L (case 12),Apex Medical Group,68.5,51,3493.5,10,13,True,True
PO-10003,2024-01-19,Emergency,PPE & Safety,N95 Respirators (case 210),Apex Medical Group,130.03,34,4421.02,9,13,True,True
PO-10004,2024-01-12,Surgery,PPE & Safety,Isolation Gowns (case 100),OmniHealth Partners,93.23,26,2423.98,10,11,True,True
PO-10005,2024-01-19,Cardiology,Surgical Supplies,Sterile Gauze (case 600),Cardinal Supply Co,56.96,32,1822.72,7,9,True,True
PO-10006,2024-01-03,Oncology,Lab & Diagnostics,Reagent Pack - Chemistry,OmniHealth Partners,896.02,3,2688.06,10,11,True,False
PO-10007,2024-01-16,Surgery,Pharmaceuticals,Epinephrine Auto-Inj (box 12),MedLine Direct,729.06,6,4374.36,5,8,True,False
PO-10008,2024-01-12,Laboratory,PPE & Safety,Face Shields (case 96),Cardinal Supply Co,81.26,11,893.86,7,9,True,True
PO-10009,2024-01-01,Emergency,PPE & Safety,N95 Respirators (case 210),Cardinal Supply Co,141.19,20,2823.8,6,9,True,True
PO-10010,2024-01-10,General Medicine,Lab & Diagnostics,Rapid Flu Test Kits (box 25),OmniHealth Partners,251.15,12,3013.8,5,11,True,True
PO-10011,2024-01-19,Surgery,Medical Equipment,Infusion Pump Sets (case 24),OmniHealth Partners,319.55,5,1597.75,10,11,True,True
PO-10012,2024-01-13,Cardiology,PPE & Safety,N95 Respirators (case 210),Regional MedSupply,152.48,27,4116.96,4,6,True,True
PO-10013,2024-01-12,Emergency,Lab & Diagnostics,Specimen Containers (case 500),Apex Medical Group,59.09,15,886.35,8,13,True,True
PO-10014,2024-01-13,Oncology,Pharmaceuticals,Saline IV Bags 1L (case 12),Cardinal Supply Co,79.74,66,5262.84,5,9,True,False
PO-10015,2024-01-26,ICU,PPE & Safety,N95 Respirators (case 210),MedLine Direct,145.57,17,2474.69,9,8,False,True
PO-10016,2024-01-08,Laboratory,Medical Equipment,Infusion Pump Sets (case 24),OmniHealth Partners,315.12,2,630.24,8,11,True,True
PO-10017,2024-01-04,Cardiology,Medical Equipment,Infusion Pump Sets (case 24),OmniHealth Partners,363.45,4,1453.8,12,11,False,False
PO-10018,2024-01-27,General Medicine,PPE & Safety,Isolation Gowns (case 100),Regional MedSupply,121.12,24,2906.88,2,6,True,False
PO-10019,2024-01-14,General Medicine,Surgical Supplies,Surgical Drapes (case 60),Apex Medical Group,124.4,11,1368.4,10,13,True,True
PO-10020,2024-01-10,Surgery,Medical Equipment,Infusion Pump Sets (case 24),Apex Medical Group,318.91,6,1913.46,13,13,True,True
PO-10021,2024-01-21,Laboratory,PPE & Safety,Isolation Gowns (case 100),Apex Medical Group,85.62,34,2911.08,14,13,False,True
PO-10022,2024-01-09,ICU,PPE & Safety,Isolation Gowns (case 100),MedLine Direct,100.05,44,4402.2,4,8,True,True
PO-10023,2024-01-01,Oncology,PPE & Safety,Face Shields (case 96),Regional MedSupply,94.21,15,1413.15,3,6,True,False
PO-10024,2024-01-04,Cardiology,PPE & Safety,Face Shields (case 96),Regional MedSupply,89.12,13,1158.56,3,6,True,True
PO-10025,2024-01-08,ICU,Medical Equipment,Pulse Oximeter Sensors (box 24),OmniHealth Partners,315.22,3,945.66,6,11,True,False
PO-10026,2024-01-18,Laboratory,Medical Equipment,Infusion Pump Sets (case 24),OmniHealth Partners,308.82,4,1235.28,7,11,True,True
PO-10027,2024-01-07,Laboratory,Lab & Diagnostics,Blood Collection Tubes (case 1000),OmniHealth Partners,110.32,18,1985.76,7,11,True,True
PO-10028,2024-01-24,Oncology,Pharmaceuticals,Propofol Vials (box 10),Cardinal Supply Co,217.14,10,2171.4,12,9,False,True
PO-10029,2024-01-23,Emergency,PPE & Safety,Nitrile Exam Gloves (box 200),MedLine Direct,11.77,216,2542.32,6,8,True,True
